date,price,open,high,low,change_percent,daily_sent,pe_ratio
2024-12-31T00:00:00Z,5881.63,5919.74,5929.74,5868.860000000001,-0.004300000000000001,0.023909338088163694,29.18857913231853
2024-12-30T00:00:00Z,5906.94,5920.67,5940.79,5869.160000000001,-0.010700000000000001,-0.0010561443698373762,29.314184268622405
2024-12-27T00:00:00Z,5970.84,6006.17,6006.17,5932.95,-0.0111,0.0266313589273083,29.63129877710988
2024-12-26T00:00:00Z,6037.59,6024.969999999999,6049.75,6007.37,-4e-4,-0.03654673704023322,29.96255689043599
2024-12-24T00:00:00Z,6040.04,5984.63,6040.1,5981.44,0.011000000000000001,0.033738904224295804,29.97471542792886
2024-12-23T00:00:00Z,5974.07,5940.25,5978.25,5902.57,0.0073,0.002261020376027105,29.647328195927006
2024-12-20T00:00:00Z,5930.85,5842,5982.06,5832.3,0.0109,-0.022382597891120078,29.432841669216078
2024-12-19T00:00:00Z,5867.08,5912.71,5935.52,5866.07,-9e-4,-0.009626366436815354,29.116372307615983
2024-12-18T00:00:00Z,5872.160000000001,6047.6500000000005,6070.67,5867.79,-0.0295,0.016091000756938485,29.141582662907325
2024-12-17T00:00:00Z,6050.610000000001,6052.55,6057.68,6035.1900000000005,-0.0039000000000000003,0.03445950015265837,30.027170832540953
2024-12-16T00:00:00Z,6074.08,6063.79,6085.1900000000005,6059.14,0.0038,0.021835590142648,30.143644659054264
2024-12-13T00:00:00Z,6051.09,6068.17,6078.58,6035.7699999999995,0,0.03658410597618592,30.02955291335588
2024-12-12T00:00:00Z,6051.25,6074.29,6079.68,6051.25,-0.0054,0.02510703038134969,30.030346940294187
2024-12-11T00:00:00Z,6084.1900000000005,6060.1500000000005,6092.59,6060.1500000000005,0.0082,-0.010798700911968195,30.193817236218717
2024-12-10T00:00:00Z,6034.91,6057.59,6065.4,6029.89,-0.003,0.010087597410694614,29.9492569392193
2024-12-09T00:00:00Z,6052.85,6083.01,6088.51,6048.63,-0.0060999999999999995,0.02672215900374652,30.03828720967729
2024-12-06T00:00:00Z,6090.2699999999995,6081.38,6099.969999999999,6079.98,0.0025,0.020488536150340766,30.223990259874483
2024-12-05T00:00:00Z,6075.110000000001,6089.03,6094.55,6072.9,-0.0019,0.008810927695018855,30.14875620746964
2024-12-04T00:00:00Z,6086.49,6069.39,6089.84,6061.06,0.0060999999999999995,0.04352605950333741,30.205231373456915
2024-12-03T00:00:00Z,6049.88,6042.969999999999,6052.07,6033.39,5e-4,0.04516218540264114,30.02354808463491
2024-12-02T00:00:00Z,6047.1500000000005,6040.110000000001,6053.58,6035.33,0.0024000000000000002,0.047238739242037864,30.01
