date,daily_sent,price,open,high,low,change_percent,pe_ratio
2024-12-31T00:00:00Z,0.0368566610474233,5881.63,5919.74,5929.74,5868.860000000001,-0.004300000000000001,29.18857913231853
2024-12-30T00:00:00Z,-0.014113690466775129,5906.94,5920.67,5940.79,5869.160000000001,-0.010700000000000001,29.314184268622405
2024-12-27T00:00:00Z,0.05220640252113111,5970.84,6006.17,6006.17,5932.95,-0.0111,29.63129877710988
2024-12-26T00:00:00Z,-0.11511220341336051,6037.59,6024.969999999999,6049.75,6007.37,-4e-4,29.96255689043599
2024-12-24T00:00:00Z,-0.06066606619887904,6040.04,5984.63,6040.1,5981.44,0.011000000000000001,29.97471542792886
2024-12-23T00:00:00Z,-0.012864618319941472,5974.07,5940.25,5978.25,5902.57,0.0073,29.647328195927006
2024-12-20T00:00:00Z,-0.042929536315270134,5930.85,5842,5982.06,5832.3,0.0109,29.432841669216078
2024-12-19T00:00:00Z,-0.050675000335177786,5867.08,5912.71,5935.52,5866.07,-9e-4,29.116372307615983
2024-12-18T00:00:00Z,0.01624212465820503,5872.160000000001,6047.6500000000005,6070.67,5867.79,-0.0295,29.141582662907325
2024-12-17T00:00:00Z,0.012450146479448502,6050.610000000001,6052.55,6057.68,6035.1900000000005,-0.0039000000000000003,30.027170832540953
2024-12-16T00:00:00Z,0.02522297700054968,6074.08,6063.79,6085.1900000000005,6059.14,0.0038,30.143644659054264
2024-12-13T00:00:00Z,0.010022666750730845,6051.09,6068.17,6078.58,6035.7699999999995,0,30.02955291335588
2024-12-12T00:00:00Z,0.07285745665125769,6051.25,6074.29,6079.68,6051.25,-0.0054,30.030346940294187
2024-12-11T00:00:00Z,-0.031880298436852514,6084.1900000000005,6060.1500000000005,6092.59,6060.1500000000005,0.0082,30.193817236218717
2024-12-10T00:00:00Z,-0.0020261349362321146,6034.91,6057.59,6065.4,6029.89,-0.003,29.9492569392193
2024-12-09T00:00:00Z,0.03568911123426505,6052.85,6083.01,6088.51,6048.63,-0.0060999999999999995,30.03828720967729
2024-12-06T00:00:00Z,-0.01863896498709101,6090.2699999999995,6081.38,6099.969999999999,6079.98,0.0025,30.223990259874483
2024-12-05T00:00:00Z,0.0033338175575044716,6075.110000000001,6089.03,6094.55,6072.9,-0.0019,30.14875620746964
2024-12-04T00:00:00Z,0.01827620478634266,6086.49,6069.39,6089.84,6061.06,0.0060999999999999995,30.205231373456915
2024-12-03T00:00:00Z,0.019926745395185946,6049.88,6042.969999999999,6052.07,6033.39,5e-4,30.02354808463491
2024-12-02T00:00:00Z,0.07646191101771149,6047.1500000000005,6040.110000000001,6053.58,6035.33,0.0024000000000000002,30.01
2024-11-29T00:00:00Z,-0.0012320652864489638,6032.38,6003.98,6044.17,6003.98,0.005600000000000001,31.17909017595308
2024-11-27T00:00:00Z,0.03727251953795825,5998.74,6014.110000000001,6020.160000000001,5984.87,-0.0038,31.005217741935482
2024-11-26T00:00:00Z,-0.002073148687805869,6021.63,6000.03,6025.42,5992.2699999999995,0.0057,31.12352749266862
2024-11-25T00:00:00Z,0.03811823309400923,5987.37,5992.28,6020.75,5963.91,0.003,30.946450513196478
2024-11-22T00:00:00Z,-0.012624724887692678,5969.34,5944.360000000001,5972.9,5944.360000000001,0.0034999999999999996,30.85326026392962
2024-11-21T00:00:00Z,0.015500436659590599,5948.71,5940.58,5963.320000000001,5887.26,0.0053,30.74663159824047
2024-11-20T00:00:00Z,-0.04181149901497574,5917.110000000001,5914.34,5920.67,5860.56,0,30.58330315249267
2024-11-19T00:00:00Z,-0.012276562890840188,5916.98,5870.05,5923.51,5855.29,0.004,30.582631231671552
2024-11-18T00:00:00Z,0.00493645199233463,5893.620000000001,5874.17,5908.120000000001,5865.95,0.0039000000000000003,30.461892228739007
2024-11-15T00:00:00Z,0.0051806105904168565,5870.620000000001,5912.79,5915.320000000001,5853.01,-0.0132,30.34301392961877
2024-11-14T00:00:00Z,0.01975728944206215,5949.17,5989.68,5993.88,5942.28,-0.006,30.749009164222873
2024-11-13T00:00:00Z,0.07869196747817865,5985.38,5985.75,6008.1900000000005,5965.91,2e-4,30.93616495601173
2024-11-12T00:00:00Z,0.012646342526453828,5983.99,6003.6,6009.92,5960.08,-0.0029000000000000002,30.928980571847504
2024-11-11T00:00:00Z,0.0719065606845853,6001.35,6008.860000000001,6017.31,5986.6900000000005,0.001,31.01870784457478
2024-11-08T00:00:00Z,0.007836390369424932,5995.54,5976.76,6012.45,5976.76,0.0038,30.988678152492668
2024-11-07T00:00:00Z,-0.04330324743987914,5973.1,5947.21,5983.84,5947.21,0.0074,30.87269428152493
2024-11-06T00:00:00Z,0.008845310932883252,5929.04,5864.89,5936.14,5864.89,0.0253,30.644964809384163
2024-11-05T00:00:00Z,-0.09398242529709021,5782.76,5722.429999999999,5783.44,5722.1,0.0123,29.88889882697947
2024-11-04T00:00:00Z,0.006835858770678111,5712.6900000000005,5725.1500000000005,5741.429999999999,5696.51,-0.0028000000000000004,29.526733504398827
2024-11-01T00:00:00Z,0.044952749852475445,5728.8,5723.22,5772.52,5723.22,0.0041,29.61
2024-10-31T00:00:00Z,-0.052082436605076374,5705.45,5775.34,5775.34,5702.860000000001,-0.018600000000000002,28.90328250492665
2024-10-30T00:00:00Z,0.04628795490736211,5813.67,5832.6500000000005,5850.94,5811.28,-0.0032999999999999995,29.451515025180647
2024-10-29T00:00:00Z,-0.03714885604462706,5832.92,5819.68,5847.1900000000005,5802.17,0.0016,29.549033746441868
2024-10-28T00:00:00Z,0.100098914368132,5823.52,5833.929999999999,5842.92,5823.08,0.0027,29.50141421502081
2024-10-25T00:00:00Z,-0.07812109889735935,5808.120000000001,5826.75,5862.820000000001,5799.98,-3e-4,29.423399238011832
2024-10-24T00:00:00Z,0.020259767642057402,5809.860000000001,5817.8,5817.8,5784.92,0.0021000000000000003,29.432213917232325
2024-10-23T00:00:00Z,-0.013607420503592435,5797.42,5834.5,5834.85,5762.41,-0.0092,29.369194026713384
2024-10-22T00:00:00Z,0.036722988647772285,5851.2,5832.7,5863.04,5821.17,-5e-4,29.641638537333044
2024-10-21T00:00:00Z,0.016105359539713367,5853.98,5857.820000000001,5866.92,5824.79,-0.0018,29.655721760455442
2024-10-18T00:00:00Z,0.025087155527699436,5864.67,5859.429999999999,5872.17,5846.110000000001,0.004,29.70987631267791
2024-10-17T00:00:00Z,0.045525464604013466,5841.469999999999,5875.620000000001,5878.46,5840.25,-2e-4,29.592347256404643
2024-10-16T00:00:00Z,0.03218380787761057,5842.469999999999,5816.58,5846.52,5808.34,0.0047,29.597413164002628
2024-10-15T00:00:00Z,0.036080103978344394,5815.26,5866.74,5870.360000000001,5804.48,-0.0076,29.459569818261446
2024-10-14T00:00:00Z,0.002853168087262822,5859.85,5829.81,5871.41,5829.57,0.0077,29.68545863805562
2024-10-11T00:00:00Z,-0.027772963356523604,5815.03,5775.09,5822.13,5775.09,0.0060999999999999995,29.458404659513906
2024-10-10T00:00:00Z,0.018890711588420227,5780.05,5778.360000000001,5795.03,5764.76,-0.0021000000000000003,29.281199211736375
2024-10-09T00:00:00Z,0.01095018411899464,5792.04,5751.8,5796.8,5745.02,0.0070999999999999995,29.34193944383622
2024-10-08T00:00:00Z,-0.15703636797406226,5751.13,5719.14,5757.6,5714.56,0.0097,29.13469316400263
2024-10-07T00:00:00Z,0.010658075238312931,5695.94,5737.8,5739.34,5686.85,-0.0096,28.85510572366981
2024-10-04T00:00:00Z,0.00830569009723291,5751.07,5737.48,5753.21,5702.83,0.009000000000000001,29.13438920954675
2024-10-03T00:00:00Z,-0.011087308064581084,5699.94,5698.1900000000005,5718.78,5677.37,-0.0017000000000000001,28.87536935406175
